source_id,display_name,normalized_name,instagram_handle,instagram_url,raw_category,normalized_source_type,source_role,mvp_relevance,authority_tier,verification_status,duplicate_group,official_website,event_page_url,usual_ticketing_platform,useful_content_types,proposed_scan_priority,access_method_status,last_verified_at,notes
"mtelus","MTELUS","MTELUS","mtelusmontreal","https://www.instagram.com/mtelusmontreal/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"centre-bell","Centre Bell","Centre Bell","centrebell","https://www.instagram.com/centrebell/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"place-bell","Place Bell","Place Bell","placebell","https://www.instagram.com/placebell/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"theatre-beanfield","Théâtre Beanfield","Theatre Beanfield","theatrebeanfield","https://www.instagram.com/theatrebeanfield/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"club-soda","Club Soda","Club Soda","clubsodamtl","https://www.instagram.com/clubsodamtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"theatre-fairmount","Théâtre Fairmount","Theatre Fairmount","theatrefairmount","https://www.instagram.com/theatrefairmount/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"l-olympia","L’Olympia","L’Olympia","olympiamontreal","https://www.instagram.com/olympiamontreal/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"foufounes-electriques","Foufounes Électriques","Foufounes Electriques","foufouneselectriques","https://www.instagram.com/foufouneselectriques/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"rialto-theatre","Rialto Theatre","Rialto Theatre","theatrerialtomtl","https://www.instagram.com/theatrerialtomtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"casa-del-popolo","Casa del Popolo","Casa del Popolo","casadelpopolo","https://www.instagram.com/casadelpopolo/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"la-sala-rossa","La Sala Rossa","La Sala Rossa","lasalarossa","https://www.instagram.com/lasalarossa/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"la-tulipe","La Tulipe","La Tulipe","latulipemtl","https://www.instagram.com/latulipemtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-ministere","Le Ministère","Le Ministere","leministeremtl","https://www.instagram.com/leministeremtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"cafe-campus-petit-campus","Café Campus / Petit Campus","Cafe Campus / Petit Campus","cafecampusmtl","https://www.instagram.com/cafecampusmtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","cafecampus-shared-account","","","","posts,reels,stories","high","needs_research","","shared official account; raw alias: Le Petit Campus comedy"
"l-escogriffe-bar-spectacle","L’Escogriffe Bar Spectacle","L’Escogriffe Bar Spectacle","lescogriffe","https://www.instagram.com/lescogriffe/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"bar-le-ritz-pdb","Bar Le Ritz PDB","Bar Le Ritz PDB","barleritzpdb","https://www.instagram.com/barleritzpdb/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"quai-des-brumes","Quai des Brumes","Quai des Brumes","quaidesbrumes","https://www.instagram.com/quaidesbrumes/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"ausgang-plaza","Ausgang Plaza","Ausgang Plaza","ausgangplaza","https://www.instagram.com/ausgangplaza/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
